epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,798.479,2.08305,2.49891,1.32855,0.35909,0.41601,0.33841,0.17272,1.65098,2.24761,1.21583,0.093007,7e-06,7e-06
2,1410.08,1.76389,1.54393,1.19993,0.2745,0.36426,0.25005,0.12574,1.76581,2.23208,1.28691,0.0850146,1.46287e-05,1.46287e-05
3,2067.23,1.70695,1.36162,1.19184,0.32953,0.52626,0.32681,0.16319,1.70782,2.06162,1.23065,0.0770219,2.18615e-05,2.18615e-05
4,2715.78,1.64997,1.34277,1.14351,0.34855,0.7484,0.39102,0.19544,1.62926,1.89244,1.16994,0.0690287,2.86983e-05,2.86983e-05
5,3406.72,1.58984,1.37972,1.09781,0.34792,0.77516,0.42729,0.21274,1.62695,1.82056,1.13898,0.0610351,3.5139e-05,3.5139e-05
6,3989.26,1.62607,1.31039,1.12086,0.33477,0.7885,0.41641,0.21812,1.59699,1.73514,1.13943,0.0530412,4.11838e-05,4.11838e-05
7,4544.97,1.58287,1.27778,1.10867,0.33184,0.8134,0.43774,0.23442,1.57123,1.64231,1.12056,0.0450468,4.68325e-05,4.68325e-05
8,5083.01,1.55153,1.24905,1.07691,0.41486,0.77614,0.48086,0.25522,1.55692,1.43119,1.11382,0.0370521,5.20853e-05,5.20853e-05
9,5646.25,1.55119,1.23228,1.11,0.38231,0.84869,0.52486,0.27064,1.56204,1.4154,1.13075,0.0290569,5.6942e-05,5.6942e-05
10,6210.25,1.52743,1.23286,1.07439,0.40553,0.79608,0.53899,0.27653,1.56236,1.40032,1.13983,0.0210614,6.14028e-05,6.14028e-05
11,6756.76,1.5561,1.24375,1.09874,0.45428,0.73812,0.55096,0.28973,1.56901,1.30035,1.13761,0.0130655,6.54675e-05,6.54675e-05
12,7315.36,1.49417,1.17947,1.0931,0.48451,0.77582,0.56819,0.29312,1.5803,1.31213,1.1407,0.00506914,6.91363e-05,6.91363e-05
13,7886.4,1.51007,1.16283,1.07171,0.46059,0.67908,0.52183,0.281,1.59776,1.33442,1.16279,7.03e-05,7.03e-05,7.03e-05
14,8444.31,1.51817,1.15359,1.08012,0.45469,0.70229,0.53367,0.29169,1.62095,1.33078,1.17969,6.7825e-05,6.7825e-05,6.7825e-05
15,9008.15,1.48271,1.09037,1.09523,0.56262,0.68135,0.61332,0.32183,1.63533,1.28175,1.17044,6.535e-05,6.535e-05,6.535e-05
16,9567.67,1.47178,1.11277,1.05067,0.57573,0.68987,0.63857,0.33267,1.6446,1.2631,1.16923,6.2875e-05,6.2875e-05,6.2875e-05
17,10166,1.46276,1.07326,1.05085,0.52712,0.73234,0.64468,0.34623,1.63395,1.23079,1.17616,6.04e-05,6.04e-05,6.04e-05
18,10716.7,1.46535,1.07328,1.05214,0.51828,0.74819,0.64861,0.34443,1.62236,1.21006,1.17421,5.7925e-05,5.7925e-05,5.7925e-05
19,11293.2,1.47979,1.04443,1.05609,0.5364,0.77381,0.67942,0.35251,1.62698,1.2072,1.16932,5.545e-05,5.545e-05,5.545e-05
20,11835.7,1.45494,1.04729,1.04606,0.61611,0.70327,0.68933,0.36787,1.62805,1.224,1.1607,5.2975e-05,5.2975e-05,5.2975e-05
21,12412.3,1.45989,0.99923,1.06439,0.60197,0.70915,0.68913,0.36569,1.62719,1.25109,1.15449,5.05e-05,5.05e-05,5.05e-05
22,12958.1,1.43672,1.01266,1.05109,0.61838,0.69444,0.69444,0.37294,1.6162,1.22896,1.1537,4.8025e-05,4.8025e-05,4.8025e-05
23,13506.5,1.4007,0.94402,1.04638,0.66459,0.64635,0.68974,0.37338,1.60583,1.20808,1.14997,4.555e-05,4.555e-05,4.555e-05
24,14067.2,1.41326,0.96545,1.03951,0.64185,0.65033,0.69077,0.36952,1.60936,1.22217,1.1475,4.3075e-05,4.3075e-05,4.3075e-05
25,14604.8,1.45969,0.96861,1.03823,0.61904,0.70841,0.69154,0.37607,1.61045,1.24117,1.14993,4.06e-05,4.06e-05,4.06e-05
26,15170.4,1.42991,0.95951,1.04803,0.59916,0.71667,0.69897,0.37424,1.61279,1.24717,1.15516,3.8125e-05,3.8125e-05,3.8125e-05
27,15720.3,1.36513,0.93155,1.01515,0.5993,0.67255,0.6803,0.36628,1.62368,1.25798,1.16557,3.565e-05,3.565e-05,3.565e-05
28,16263.9,1.39943,0.9283,1.02764,0.5922,0.68554,0.67132,0.35684,1.62015,1.28025,1.1642,3.3175e-05,3.3175e-05,3.3175e-05
29,16835.4,1.41415,0.9256,1.0288,0.61015,0.67876,0.68305,0.36851,1.60822,1.27602,1.15739,3.07e-05,3.07e-05,3.07e-05
30,17384.9,1.4043,0.9081,1.00589,0.65187,0.67662,0.69295,0.37188,1.60489,1.27835,1.15267,2.8225e-05,2.8225e-05,2.8225e-05
31,17815.4,1.37756,0.94838,1.08005,0.64011,0.68997,0.67773,0.36178,1.60503,1.30176,1.15431,2.575e-05,2.575e-05,2.575e-05
